;Lugar;Grabadora;Transformación;Permanencia;Longitud;ACIft;ADI;ACItf;BI;TE;ESM;NDSI;P;M;NP;MID;BNF;BNT;MD;FM;SF;RMS;CF;ADIm1;ADIm2;ADIm3;ADIm4;ADIm5;ADIm6;ADIm7;ADIm8;ADIm9;ADIm10;ADIm11
20160101;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.171947122578606;0.584781874858095;-0.475717057756235;-0.860167891152906;0.283628425974198;-0.182801094758314;-0.822607880611935;-0.902168825967789;-1.22407147071638;-0.845233086116445;-1.14287304776258;-0.50675053781058;-0.998146430287809;-0.79291745567665;0.339893370289464;-0.41404817551406;-1.18442129257745;-0.521551862421651;-0.241007376253833;0.206630392452864;0.260609849193383;-0.32603341246003;0.486936921222085;0.232333341862226;0.149116978893989;-0.372677635588167;-1.03987088583653;-0.91486336325827;-0.200129053281612
20160102;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.304240809468295;0.874728948050817;-0.565690301232368;-0.375552434006633;0.446490512880421;-0.383921854922568;0.0107171788198322;-0.758948553894979;-1.24901882893998;-0.635652937001228;-0.757508195414533;-0.523262869672398;-0.998146430287809;-0.723967782240424;0.396714726120117;0.318134167614919;-1.19896200496437;-0.457225341187755;0.139398291075343;0.350873605875273;0.12291448252173;-0.517689512972298;0.421485966791572;0.152172911074483;0.262447069905942;0.0291644192704877;-0.745587287272059;-0.942384365579403;-0.0685984702436691
20160103;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.33982226690675;0.746813842884312;-0.458378960970339;-0.135204698787092;0.43860602705158;0.00974743922190883;0.082701638698835;-0.705984203345715;-1.24154584932;-0.779099477942761;-0.781454297136177;-0.516539484118845;-0.998146430287809;-0.713373620324492;0.219705143277582;0.125067547255321;-1.19968455528733;-0.538408836852037;0.245870532220189;0.290717441746855;0.507416206381881;-0.391097466281765;0.740404101591906;0.132741939854057;0.167833047271973;0.237684980993484;-0.40400471410889;-0.543876096731087;0.101897199091488
20160104;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.229584081357062;0.91807209616943;-0.325399880961468;-0.110043486306194;0.46895144392631;-0.0799865422258406;0.215206899884;-0.561159122609232;-1.24293608077069;-0.650307694132091;-0.84802654130436;-0.520921076572784;-0.998146430287809;-0.706112731144095;0.0806569309043587;0.258992652066529;-1.20138372943944;-0.495221971208002;0.377707497527585;0.350568338875373;0.274446343667027;-0.362860919106486;0.131287951065763;-0.111860519723903;0.0546632266712121;-0.0908330421896083;-0.64856046347363;-0.544687470253797;0.117638111208271
20160105;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.308184968661736;0.817189054171749;-0.322157087089934;-0.138336842401865;0.464600098810609;-0.411705664651923;0.199662582801104;-0.600986407524048;-1.23500182931293;-0.521418502709539;-0.799794114772553;-0.516833510109432;-0.998146430287809;-0.731215255390301;0.111812618009895;0.110716617596246;-1.1944719376836;-0.4529502387562;0.381644501739985;0.240092985507203;0.233372505587395;-0.323291347197326;0.18007489038344;-0.131028642128238;-0.073312859455652;-0.177322705527012;-0.83690975061687;-0.718013463776102;0.0468632716298797
20160111;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.249420684020723;1.27325674644626;-0.264193127353504;0.300336494148483;0.427252416430909;-0.179665619845731;0.358309217770532;-0.567597370547391;-1.24003736608575;-0.701752294412001;-0.876241596477974;-0.508318148200647;-0.998146430287809;-0.758572529901197;0.185296966982943;0.0336174258737562;-1.20006794614758;-0.557710095174022;0.265748854079503;-0.173908946166805;0.128949623450719;-0.554292558209158;-0.10882914949599;-0.245110199961452;-0.138530185143288;-0.117164806072015;-0.548046388946082;-0.422593518809832;0.0239002309791859
20160112;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.432441605890611;1.24835696293698;-0.226544303737863;-0.173238126337749;0.521784471901417;0.0969449743747486;0.0680292514746915;-0.587933637529681;-1.2486793933616;-0.877061067507653;-0.798193553152467;-0.531411504872136;-0.998146430287809;-0.645839470435506;0.103438596172341;0.284293202051126;-1.20848133365936;-0.539408722379934;0.0656143003130968;-0.0772384902882557;0.00441534788784586;-0.825354864037133;0.121073098296928;0.106758181305634;0.231185006931604;0.378185606411595;-0.285896629276305;0.0261909861359934;0.340317275549933
20160113;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.654504795046327;1.31848531506464;-0.164683235019808;-0.61967863893432;0.548274618432165;0.1030866955202;-0.253452535497436;-0.664747237223451;-1.2466375999536;-0.790491846200538;-0.819411789906814;-0.543133792358611;-0.998146430287809;-0.603480867506416;-0.166197460238678;0.204936134914637;-1.20581709438291;-0.557275264737109;-0.158887257663501;-0.306190764910411;0.013840435034818;-0.744649427765186;-0.307184260741541;-0.235424145910683;0.24200295510344;0.249755477643548;-0.386871880395365;-0.134096285545861;0.393065448089514
20160114;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.528273764676118;0.637149625624084;-0.516945648646509;-0.497919934633904;0.512676395826448;-0.0710204470281364;-0.0701766130652654;-0.569723832834988;-1.24343665473823;-0.815986001368255;-0.921533105690693;-0.530439974556974;-0.998146430287809;-0.614824736489228;0.301785784049869;0.112170633759608;-1.20155925300623;-0.549141536019191;0.146825826794391;0.00764260719188764;0.0772299302840468;-0.527853275199808;0.264186129441166;0.120369353697582;0.645386032074586;0.380828600439928;-0.405298860924769;-0.312135281276212;0.0335497972400479
20160115;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.493705687829435;1.10529882884187;-0.243142100979586;-0.484003050068983;0.523888982613183;0.0385398622371291;0.018481063483045;-0.622181359463848;-1.24558614790719;-0.826723634610234;-0.718102488151241;-0.528333032710318;-0.998146430287809;-0.650982364650698;0.0360010350267539;0.348630326527468;-1.20724436935335;-0.53014493365617;0.0350192524843344;-0.376480079243902;-0.0926381247508139;-0.532855184623101;-0.0177793565814275;0.00786555169099758;0.194558997601739;0.189754484819757;-0.420864297458977;-0.308964799226493;0.158038584742194
20161221;Guajira;5071;Alta;Alta;"73º26'25.7""W";-0.727549160088335;-0.285553502755038;-0.60549236142957;0.390120123150049;0.908548593111286;0.720689795970459;-1.20731010367982;-0.891135800538568;0.16540154872562;-0.357419172015209;0.658827311921682;-0.672787211169653;-0.998146430287809;0.373745711331164;0.289558155431922;0.253614772519037;0.0903829403497832;-0.578004837751145;1.03586595386999;0.264454142219407;-0.146573442215063;-0.881644491559608;0.172663923855089;0.22384463108348;-0.323537877898303;1.00375201717323;0.807581666343486;0.741757267989092;0.907919728554323
20161223;Guajira;5071;Alta;Alta;"73º26'25.7""W";-1.21145553355328;-0.209700258613112;-0.0275523499614942;1.74933785868656;0.892140840307834;0.946042982242823;-0.225812237820808;-0.810422690125131;0.171404468291862;0.439860167379888;1.32755477606585;-0.640342981950246;-0.998146430287809;0.0864175663203856;-0.745453094896106;-0.292136685973344;0.0974124360157696;-0.533757425022092;0.891624128214498;0.564364560932886;-0.0406819392689453;-1.24819544896058;-0.866136805028536;-0.492436474454406;-0.56011840918651;-0.43569967261972;0.534741815781061;0.787435000937979;0.853161897712056
20161224;Guajira;5071;Alta;Alta;"73º26'25.7""W";-0.394117536691163;0.69745022859186;-0.45470145672465;1.51276212838176;0.89523656042487;1.26694259226359;-0.5284561144133;-0.783699712847536;0.164733468770498;0.154303707107489;0.756305546467574;-0.650149909391768;-0.998146430287809;0.136816757605768;0.249682171563952;-0.272343308099439;0.0908888212292237;-0.573949961510247;0.90187080765886;0.576943913271903;-0.623542322254315;-2.21015040783381;-0.960372596465189;-0.554273968155244;-0.825733866446933;-0.730974593947307;0.314395972065508;0.753826054793293;1.14680587591314
20170103;Guajira;302143;Baja;Baja;"73º26'07.7""W";0.412104180776296;1.72405209369692;-0.137212425071495;0.257480416114679;0.755264512820384;-1.11019031004467;0.312299045379194;0.10030986294115;0.179031616187022;-0.538782986269376;-0.965921035839821;-0.503656124151006;-0.998146430287809;-0.328374238844925;0.0911730239332675;-0.381275384882349;0.102725741219504;-0.518339210629882;-0.145344617424477;-0.0862337131884283;-0.728271458464088;-0.21194501397577;0.320594951056186;0.129066360012878;-0.546211425288234;-0.985154332585566;-1.39014011732232;-1.54362193641021;-1.30248076267053
20170104;Guajira;302143;Baja;Baja;"73º26'07.7""W";0.420727285670046;1.58642192768372;0.0467981866856207;0.667557880299874;0.737878951318613;-0.595910445575051;0.4102895169037;0.26550779221281;0.194083685294763;-0.627595602757366;-0.911605190132946;-0.495370229217948;-0.998146430287809;-0.326598295054437;-0.149749259519235;-0.344123153158961;0.11368247878439;-0.523435366937809;-0.424416616654238;-0.12969686459033;-1.20084119864761;-0.792126046471862;-0.125875322370336;-0.194661049187256;-0.862595079096267;-1.11670802184176;-1.22939957567095;-1.18715346952885;-1.02178741530247
20170114;Guajira;302143;Baja;Baja;"73º26'07.7""W";0.36295270582381;0.779126385125427;1.02288101176334;-0.0181988847381316;0.662510812733035;-0.929171596510588;0.0522345747570557;-0.199632676018359;0.1948229875573;-0.741303614643637;-1.0226590000222;-0.507987504917844;-0.998146430287809;-0.644012784106776;-0.940163384750553;-0.64163233703628;0.127715277623727;-0.190497492079048;-2.34092325929285;-3.00551050145508;-3.57418621711449;-1.79618073864603;-1.78783795418564;-1.50378455596365;-1.99010830409261;-2.20577635453614;-2.59571724216173;-3.01670299617002;-3.06157868834034
20151212;Guajira;JSC5069;Baja;Baja;73º26'8.4''W;-0.235416208633141;0.627768123048756;-0.54924299076257;0.368413082197509;0.894681466020634;0.513461064309229;-0.822199725155009;-0.692287724816496;0.164821033559046;-0.71128345762168;0.0487561711483363;-0.650609138132534;-0.998146430287809;0.0123424367790324;0.584077482608739;-0.17200665762002;0.0906356800926412;-0.561531719905391;1.17980490780125;0.775665300645665;0.508285456963636;-0.0055964606113156;-0.105262177188578;0.15427077974792;0.127040569796661;-0.0823471540598759;0.591143520845884;0.878233360769877;0.820941964972399
20151213;Guajira;JSC5069;Baja;Baja;73º26'8.4''W;-0.167072923236426;0.626756081553952;-0.562709764456669;0.696945874331312;0.893755680162209;0.518125338528715;-0.593108479267486;-0.666249188481978;0.159292719082664;-0.600096700725088;0.137940665924028;-0.645730122072087;-0.998146430287809;0.191708829969562;0.691802088165861;-0.13744140572709;0.0853015620386044;-0.566555356664157;1.10547552577531;0.765496856241108;0.213801833916223;-0.344843348366691;-0.326906704826609;-0.0205000826024039;0.132498109053768;-0.632452344534564;0.391373664481621;0.586306936400725;0.599046697251721
20151214;Guajira;JSC5069;Baja;Baja;73º26'8.4''W;-0.314724794279344;0.792229806013594;-0.804175323593577;0.380950130266431;0.894674408382424;0.833478334738397;-0.8590998474136;-0.666012034643827;0.155349369851634;-0.693371669422421;-0.011135926030623;-0.647980634651267;-0.998146430287809;0.383684391979116;0.879192319662581;-0.082152724382127;0.0817122488945159;-0.558554895640012;1.1745430046966;0.843558720733107;0.553881397652791;0.122781817073485;0.184728316957364;0.211886303835476;0.461702482399277;-0.191100038039713;0.497036225688253;0.804141147242228;0.808008237680464
